Tiempo,AX,AY,AZ,GX,GY,GZ,ALTURA
1472.0,-0.0,-192.0,13880.0,-482.0,-239.0,-75.0,1.55
1473.0,940.0,-148.0,13992.0,-481.0,-245.0,-78.0,1.55
1474.0,-0.0,-148.0,13852.0,-487.0,-245.0,-95.0,1.45
1475.0,1120.0,-76.0,13952.0,-467.0,-262.0,-50.0,1.69
1476.0,-0.0,-76.0,13948.0,-469.0,-244.0,-52.0,1.52
1477.0,1080.0,-100.0,13900.0,-486.0,-248.0,-58.0,1.35
1478.0,-0.0,-100.0,13856.0,-466.0,-240.0,-65.0,1.52
1479.0,876.0,-84.0,13844.0,-448.0,-247.0,-94.0,1.55
1480.0,-0.0,-84.0,13840.0,-490.0,-239.0,-67.0,1.41
1481.0,1004.0,-68.0,13988.0,-493.0,-237.0,-58.0,1.63
1482.0,-0.0,-68.0,13992.0,-471.0,-279.0,-65.0,1.78
1483.0,1164.0,-16.0,13852.0,-455.0,-249.0,-82.0,1.78
1484.0,-0.0,-16.0,13908.0,-470.0,-241.0,-80.0,1.69
1485.0,1020.0,-200.0,13908.0,-447.0,-253.0,-71.0,1.65
1486.0,-0.0,-200.0,13980.0,-456.0,-280.0,-61.0,1.92
1487.0,876.0,-92.0,13812.0,-465.0,-221.0,-56.0,1.62
1488.0,-0.0,-92.0,13808.0,-466.0,-244.0,-103.0,1.86
1489.0,952.0,-112.0,13948.0,-457.0,-249.0,-80.0,2.15
1490.0,-0.0,-112.0,13944.0,-479.0,-235.0,-84.0,1.62
1491.0,868.0,-156.0,13888.0,-483.0,-221.0,-51.0,2.01
1492.0,-0.0,-156.0,13972.0,-442.0,-268.0,-51.0,1.8
1493.0,960.0,-208.0,13932.0,-463.0,-261.0,-73.0,1.81
1494.0,-0.0,-208.0,13836.0,-484.0,-189.0,-77.0,1.77
1495.0,1008.0,-88.0,13840.0,-480.0,-230.0,-98.0,1.65
1496.0,-0.0,-88.0,13880.0,-466.0,-251.0,-56.0,1.84
1497.0,976.0,-104.0,13912.0,-486.0,-222.0,-70.0,2.0
1498.0,-0.0,-104.0,13996.0,-455.0,-259.0,-76.0,1.85
1499.0,944.0,-100.0,13888.0,-447.0,-280.0,-78.0,2.13
1500.0,-0.0,-100.0,13884.0,-467.0,-257.0,-67.0,1.88
1501.0,1008.0,-200.0,13928.0,-465.0,-248.0,-80.0,1.77
1502.0,-0.0,-200.0,13976.0,-454.0,-253.0,-52.0,1.8
1503.0,1128.0,-60.0,13984.0,-458.0,-245.0,-64.0,1.79
1504.0,-0.0,-60.0,13916.0,-467.0,-252.0,-92.0,1.88
1505.0,1004.0,-60.0,13952.0,-474.0,-239.0,-58.0,1.71
1506.0,-0.0,-60.0,13852.0,-445.0,-235.0,-81.0,1.94
1507.0,1012.0,-128.0,13900.0,-469.0,-252.0,-73.0,1.8
1508.0,-0.0,-128.0,13804.0,-443.0,-242.0,-74.0,1.92
1509.0,980.0,-28.0,13996.0,-475.0,-251.0,-76.0,1.94
1510.0,-0.0,-28.0,13976.0,-472.0,-236.0,-88.0,1.95
1511.0,868.0,-56.0,13984.0,-488.0,-256.0,-108.0,1.82
1512.0,-0.0,-56.0,13932.0,-462.0,-261.0,-90.0,1.87
1513.0,1024.0,-60.0,13912.0,-457.0,-275.0,-93.0,1.82
1514.0,-0.0,-60.0,14040.0,-464.0,-213.0,-46.0,1.61
1515.0,1100.0,-124.0,13984.0,-456.0,-249.0,-72.0,1.94
1516.0,-0.0,-124.0,13912.0,-469.0,-258.0,-88.0,1.85
1517.0,1068.0,-168.0,13944.0,-472.0,-243.0,-90.0,1.8
1518.0,-0.0,-168.0,13856.0,-490.0,-255.0,-63.0,1.73
1519.0,792.0,-96.0,13856.0,-482.0,-260.0,-73.0,1.75
1520.0,-0.0,-96.0,13860.0,-506.0,-264.0,-53.0,1.89
1521.0,1136.0,-100.0,13828.0,-470.0,-215.0,-79.0,1.79
1522.0,-0.0,-100.0,13956.0,-471.0,-253.0,-87.0,1.74
1523.0,928.0,20.0,13952.0,-469.0,-258.0,-89.0,1.73
1524.0,-0.0,20.0,13996.0,-480.0,-231.0,-82.0,1.77
1525.0,852.0,-248.0,13816.0,-452.0,-259.0,-40.0,1.69
1526.0,-0.0,-248.0,13988.0,-473.0,-290.0,-51.0,1.69
1527.0,840.0,-260.0,13844.0,-469.0,-252.0,-84.0,1.75
1528.0,-0.0,-260.0,13896.0,-478.0,-233.0,-86.0,1.74
1529.0,1000.0,-72.0,13944.0,-457.0,-250.0,-65.0,1.62
1530.0,-0.0,-72.0,13840.0,-483.0,-260.0,-54.0,1.48
1531.0,1092.0,-88.0,13960.0,-470.0,-258.0,-73.0,1.64
1532.0,-0.0,-88.0,13924.0,-472.0,-263.0,-82.0,1.68
1533.0,956.0,-152.0,13904.0,-456.0,-227.0,-87.0,1.68
1534.0,-0.0,-152.0,14024.0,-465.0,-245.0,-66.0,1.75
1535.0,1136.0,-64.0,13948.0,-454.0,-249.0,-71.0,1.66
1536.0,-0.0,-64.0,13872.0,-468.0,-266.0,-56.0,1.52
1537.0,1084.0,-12.0,14052.0,-469.0,-237.0,-77.0,1.82
1538.0,-0.0,-12.0,13948.0,-469.0,-247.0,-74.0,1.59
1539.0,984.0,-84.0,13972.0,-450.0,-249.0,-81.0,1.76
1540.0,-0.0,-84.0,13972.0,-460.0,-211.0,-65.0,1.48
1541.0,1020.0,-236.0,14048.0,-492.0,-246.0,-29.0,1.58
1542.0,-0.0,-236.0,13944.0,-470.0,-271.0,-70.0,1.57
1543.0,1024.0,-184.0,13872.0,-457.0,-240.0,-78.0,1.62
1544.0,-0.0,-184.0,13676.0,-485.0,-236.0,-86.0,1.69
1545.0,956.0,-236.0,13660.0,-459.0,-249.0,-71.0,1.94
1546.0,-0.0,-236.0,14000.0,-450.0,-261.0,-52.0,1.65
1547.0,1020.0,-12.0,14140.0,-464.0,-234.0,-56.0,1.75
1548.0,-0.0,-12.0,13848.0,-416.0,-282.0,-67.0,1.73
1549.0,1060.0,-108.0,14000.0,-442.0,-268.0,-71.0,1.46
1550.0,-0.0,-108.0,13856.0,-458.0,-251.0,-86.0,1.61
1551.0,1032.0,-88.0,13856.0,-494.0,-246.0,-56.0,1.77
1552.0,-0.0,-88.0,14056.0,-436.0,-271.0,-40.0,1.58
1553.0,972.0,-164.0,13992.0,-457.0,-241.0,-52.0,1.54
1554.0,-0.0,-164.0,13928.0,-470.0,-255.0,-71.0,1.12
1555.0,1072.0,-192.0,14040.0,-450.0,-250.0,-92.0,1.52
1556.0,-0.0,-192.0,14040.0,-487.0,-244.0,-78.0,1.47
1557.0,1032.0,-204.0,13788.0,-462.0,-247.0,-55.0,1.45
1558.0,-0.0,-204.0,13844.0,-450.0,-260.0,-62.0,1.31
1559.0,1012.0,-156.0,13956.0,-452.0,-249.0,-70.0,1.35
1560.0,-0.0,-156.0,13932.0,-493.0,-244.0,-102.0,1.4
1561.0,1156.0,-4.0,13920.0,-455.0,-237.0,-47.0,1.35
1562.0,-0.0,-4.0,13940.0,-470.0,-251.0,-97.0,1.56
1563.0,908.0,-152.0,13828.0,-496.0,-227.0,-51.0,1.34
1564.0,-0.0,-152.0,13908.0,-454.0,-247.0,-64.0,1.38
1565.0,984.0,-136.0,13932.0,-460.0,-293.0,-83.0,1.34
1566.0,-0.0,-136.0,13892.0,-461.0,-254.0,-117.0,1.3
1567.0,1032.0,-112.0,13992.0,-477.0,-202.0,-76.0,1.51
1568.0,-0.0,-112.0,13840.0,-445.0,-234.0,-47.0,1.42
1569.0,1120.0,-84.0,13860.0,-462.0,-257.0,-61.0,1.58
1570.0,-0.0,-84.0,13920.0,-472.0,-220.0,-59.0,1.74
1571.0,972.0,-208.0,13888.0,-469.0,-219.0,-78.0,1.7
